date,content,source,user name,followers,handle,location,country,link,tags,replies,reposts,likes,views,included url
10/25/2024,"I'm really looking forward to MaTOS Lung 2024 in Lake Tahoe, discussing the latest advancements in thoracic oncology with leading experts and exploring ways to improve patient care.
",x.com,Lukas Jager,153,@OncoAdvLukas,Stuttgart,Germany,https://x.com/OncoAdvLukas/status/1849932392208925027,,0,0,1,36,
10/25/2024,Can’t miss event in beautiful Lake Tahoe with global leading thoracic oncologists to discuss all of the Lung data in 2024 to provide the best treatments for our patients. ,x.com,Chandler Park MD FACP,20900,@CParkMD,"Louisville, KY",USA,https://x.com/CParkMD/status/1849912915102515546,,1,3,8,"1,356",
10/25/2024,"Join Dr. Luis E. Raez at the MaTOS Lung 2024!
November 21 - 24  
Dive into the future of thoracic oncology!
Register now at http://matos-lung.com
@edgardo_ny @LuisRaezMD @christine_lovly @HosseinBorghaei @DCarboneMD @NouraChoudhury  @DasMillie11 @DDoroshow @maryjofidlerMD",x.com,The Medical Educator Consortium,996,@mecmededucation,,,https://x.com/mecmededucation/status/1849828001220866152,,0,3,6,"2,869",http://matos-lung.com
10/25/2024,65 #lungcancer KOLs discussing and reviewing the latest data #lcsm @StephenVLiu @lungoncdoc @Latinamd and many more,x.com,Dr. Luis E. Raez,1016,@LuisRaezMD,"Miami, FL",USA,https://x.com/LuisRaezMD/status/1849832517567725775,"#lungcancer, #lcsm",0,6,15,"5,939",
11/21/2024,On the road again to Lake Tahoe this morning for #Matos24 Lung Meeting . Loving the and view of the mountains.,x.com,Dr. Estela Rodriguez,6920,@Latinamd,"Miami, FL",USA,https://x.com/Latinamd/status/1859698267313013183,#Matos24,0,0,10,450,
11/11/2024,"Join the lung cancer experts on 11/22 at 9:30 AM PST at MaTOS for an #EGFR-mutated 
advanced #NSCLC #MedEd event.",x.com,PeerView,5047,@PeerView,"New York, NY",United States,https://x.com/PeerView/status/1856064457417404888,"#EGFR, #NSCLC,  #MedEd ",0,5,7,223,
10/25/2024,"Thrilled to join the faculty lineup for MaTOS 2024 in beautiful Lake Tahoe next month! 
A huge thank you to conference chairs @edgardo_ny, @LuisRaezMD, @christine_lovly, & @marinagarassino for the invitation!",x.com,"Eric K. Singhi, MD",4657,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1849842366066139179,,2,2,12,"2,229",
10/30/2024,"Join me and Dr. @ZPiotrowskaMD on Friday, November 22nd at 9:30am PST as we discuss first-line management of #EGFR NSCLC as part of the MaTOS conference in Lake Tahoe, CA. Join us in person for breakfast or virtually!",x.com,"Stephen V Liu, MD",25700,@StephenVLiu,"Georgetown, Washinton DC",United States,https://x.com/StephenVLiu/status/1851558240074506336,#EGFR,2,14,42,"3,689",https://lrn.peerview.com/150210399_1/150210399_1_p1/stage1reg?MemberID=102961840&EmailID=25648891&CountryID=US&ProjectNumber=150210399_1
11/21/2024,"Welcome to MaTOS 2024!
Here’s a sneak peek of the stunning Ritz-Carlton, Lake Tahoe, and the vibrant exhibit hall as we kick off this year's summit!
Meet our esteemed Summit Directors:
- Marina Chiara Garassino, MD
- @christine_lovly
- @LuisRaezMD
- @edgardo_ny
Stay tuned!
",x.com,The Medical Educator Consortium,996,@mecmededucation,,,https://x.com/mecmededucation/status/1859686638747779361,,0,0,0,80,
08/15/2024,"The Masters in Thoracic Oncology Summit from November 21 - 24, 2024 - @mecmededucation
@marinagarassino @LuisERaez1 @EdgardoSantosMD @christine_lovly

https://oncodaily.com/blog/124670

#Cancer #ThoracicOncology #LCSM #MedicalConference #CancerResearch #OncoDaily #Oncology",x.com,OncoDaily,"5,247",@oncodaily,"Boston, MA",United States,https://x.com/oncodaily/status/1824091175294554593,"#Cancer, #ThoracicOncology, #LCSM ,#MedicalConference ,#CancerResearch, #OncoDaily, #Oncology
",1,2,11,368,https://oncodaily.com/blog/124670
08/12/2024,"Join us for the Masters in Thoracic Oncology Summit
This 3-day event features key sessions from top thoracic oncology experts, diving into current challenges and future directions in lung cancer.
Register Now!  - http://matos-lung.com
@edgardo_ny  @LuisRaezMD",x.com,The Medical Educator Consortium,996,@mecmededucation,,,https://x.com/mecmededucation/status/1823012355002810729,,0,1,2,176,http://matos-lung.com
07/07/2024,"The Masters in Thoracic Oncology Summit - @LuisERaez1 
@christine_lovly  @mhshospital 

#Cancer #LungCancer #Immunotherapy #MemorialCancerInstitute #MRD #OncoDaily #Oncology #TargetedTherapy
",x.com,OncoDaily,"5,247",@oncodaily,"Boston, MA",United States,https://x.com/oncodaily/status/1809934990253207806,"#Cancer, #LungCancer, #Immunotherapy, #MemorialCancerInstitute, #MRD, #OncoDaily, #Oncology, #TargetedTherapy",0,4,25,388,
11/22/2024,"Just a group of your favorite thoracic oncologists gathering in beautiful Lake Tahoe to discuss the latest in lung cancer care & research  #LCAM #MATOS24

@christine_lovly @LuisRaezMD @marinagarassino @EdgardoSantosMD",x.com,"Eric K. Singhi, MD",4657,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1859819991811723406,"#LCAM, #MATOS24",1,7,25,"1,395",
11/22/2024,Playing and learning from this awesome group of Thoracic Oncology experts at #Matos24 #lcsm,x.com,Dr. Estela Rodriguez,6920,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1859857661908619753,"#Matos24, #lcsm",2,2,27,1182,
11/20/2024,Remember to join us on 11/22 at 9:30 AM PST at MaTOS for our #EGFR-mutated advanced #NSCLC live in-person & virtual symposium. Please tweet your questions in advance and follow @PeerView for more #MedEd content! https://bit.ly/LakeTahoe24T,x.com,PeerView,5047,@PeerView,"New York, NY",United States,https://x.com/PeerView/status/1859235477108273314,"#EGFR, #NSCLC,  #MedEd",0,7,10,253,https://bit.ly/LakeTahoe24T
11/22/2024,#MATOS24 ⁦@marinagarassino⁩ ⁦@christine_lovly⁩ ⁦@LuisRaezMD⁩ ⁦@edgardo_ny⁩ Great start for MaTOS.,x.com,Dr. Nagla Abdel Karim,"2,469",@NaglaAKarimMD,Virgina,United States,https://x.com/NaglaAKarimMD/status/1859991513729822728,#MATOS24,0,1,6,228,
11/22/2024,#MATOS Am glad that I used the 3 hour jet lag to get up early & exercise! Looking forward to a great conference ⁦@LuisRaezMD⁩ ⁦@edgardo_ny⁩ ⁦@christine_lovly⁩ ⁦@triparnasen,x.com,Dr. Nagla Abdel Karim,"2,469",@NaglaAKarimMD,Virgina,United States,https://x.com/NaglaAKarimMD/status/1859948653294829715,#MATOS,0,0,12,288,
11/22/2024,Ready for the #MaTOS24 meeting with friends @LuisRaezMD @marinagarassino!,x.com,"Stephen V Liu, MD",25700,@StephenVLiu,"Georgetown, Washinton DC",United States,https://x.com/StephenVLiu/status/1859995150115905957,#MaTOS24,0,1,18,783,
11/22/2024,"#MATOS24 starts now! 

@christine_lovly @marinagarassino @LuisRaezMD @EdgardoSantosMD",x.com,"Eric K. Singhi, MD",4657,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1859993102154702922,#MaTOS24,0,1,5,300,
11/22/2024,"@triparnasen highlights the challenges of diagnosing lung cancer early. 

With only 16% of eligible Americans participating in screening, we must work to increase this rate and explore innovative tools like liquid biopsies. #MATOS24",x.com,"Eric K. Singhi, MD",4657,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1859996353281351810,#MATOS24,0,0,2,120,
11/22/2024,"@MattSmeltzer reviews population-level access & effectiveness challenges in lung cancer screening:

improve eligibility criteria 
improve access
detect early 

#MATOS24
",x.com,"Eric K. Singhi, MD",4657,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1860002275298804078,#MATOS24,1,0,2,100,
11/22/2024,First session of #MaTOS24 discusses detection and diagnosis of lung cancer. How can we improve screening? Are the current criteria too restrictive? Great discussion with Drs. Claudia Henschke @triparnasen Gerard Silvestri @MattSmeltzer @LuisRaezMD @drshieldsmd,x.com,"Stephen V Liu, MD",25700,@StephenVLiu,"Georgetown, Washinton DC",United States,https://x.com/StephenVLiu/status/1860004158763683934,#MaTOS24,0,2,6,694,
11/22/2024,"So many great discussions on lung cancer screening by the panel:

Should we expand screening eligibility, and how?
What is the comfort level and trust in emerging biomarkers for screening?
How can we address incidental pulmonary nodules while minimizing harm?

#MATOS24
",x.com,"Eric K. Singhi, MD",4657,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1860007943896469506,#MaTOS24,1,8,15,866,
11/22/2024,Great seeing my colleagues Drs Henschke and Sen discussing early detection at MaTOS Lung Cancer Conference in Lake Tahoe!,x.com,Fred R. Hirsch,3785,@fred_hirsch,"New York, NY",United States,https://x.com/fred_hirsch/status/1860012791236821290,,0,0,7,274,
11/22/2024,"Watch Stephen V. Liu, MD (@StephenVLiu) & Zosia Piotrowska, MD, MHS (@ZPiotrowskaMD) discuss the latest #NSCLC updates from #MaTOS - to participate, visit: https://bit.ly/LakeTahoe24T https://x.com/i/broadcasts/1MnGnDZZoqExO
",x.com,PeerView,5047,@PeerView,"New York, NY",United States,https://x.com/PeerView/status/1860012768268812502,"#MaTOS, #NSCLC ",0,3,6,469,"https://bit.ly/LakeTahoe24T ,  https://x.com/i/broadcasts/1MnGnDZZoqExO"
11/22/2024,"#Matos24 More options for 1st line therapy for EGFR+ lung cancer , means more questions. 
Who benefits from intensification regimens? 
At what long-term toxicities? 
What overall survival difference trumps toxicity?
@EGFRResisters #lcsmO",x.com,Dr. Estela Rodriguez,6920,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1860032976509370724,"#lcsm, #Matos24",0,1,6,244,
11/22/2024,"immunotherapy to neoadjuvant chemo in NSCLC but for now, only OS benefit is pembrolizumab in KEYNOTE 671. Attrition before surgery is a concern - somewhat high rates - due to selection?",x.com,"Stephen V Liu, MD",25700,@StephenVLiu,"Georgetown, Washinton DC",United States,https://x.com/StephenVLiu/status/1860037818711703878,#MaTOS24,0,3,12,874,
11/22/2024,"#Matos24 Deep in the woods learning about current and next management options for #lungcancer #lcsm
",x.com,Dr. Estela Rodriguez,6920,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1860037931496538386,"#lungcancer, #lcsm, #Matos24",0,0,6,219,
11/22/2024,"#Matos24 Debate: @RachelSanbornMD argues Yes: 
Is Perioperative Immunotherapy the new standard of care? 

 Yes probably (for Stage III)
there is still need for longer follow up & OS data.
#lcsm
",x.com,Dr. Estela Rodriguez,6920,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1860042318759493817,"#Matos24, #lcsm",0,2,6,235,
11/22/2024,"Matos24 Debate @HosseinBorghaei argues against: Is preoperative Immunotherapy the New Standard of Care? 

Good argument that we don’t know yet if PDL1 neg, Stage 2 benefits longterm
",x.com,Dr. Estela Rodriguez,6920,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1860042718275404083,#Matos24,0,0,4,187,
11/22/2024,"First #MATOS24 debate: Is perioperative IO the new standard of care?

 @RachelSanbornMD: Yes “We can’t confidently tell patients that OS won’t be impacted without adjuvant IO.”
 @HosseinBorghaei: No (but maybe ) “If we don’t know who benefits, how can this be SOC for everyone?”",x.com,"Eric K. Singhi, MD",4657,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1860042922722574570,#MATOS24,0,2,6,377,
11/22/2024,"POV: When you snap a picture of your slide… while it’s being presented as a slide Loved the talk @HosseinBorghaei! 

 cred: @drshieldsmd #MATOS",x.com,"Eric K. Singhi, MD",4657,@lungoncdoc,"Houston, TX",United States,https://x.com/lungoncdoc/status/1860043004041658424,#MATOS24,0,0,9,337,
11/22/2024,"#Matos24 @DCarboneMD asks another compelling question

Is adjuvant therapy delaying metastatic disease or curing patients? #lcsm",x.com,Dr. Estela Rodriguez,6920,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1860047847728775508,"#Matos24, #lcsm",0,1,2,149,
11/22/2024,A great #Matos24 case discussion with @maryjofidlerMD @jpmd901 @karenkellymd,x.com,Matthew Smeltzer,441,@MattSmeltzer,,United States,https://x.com/MattSmeltzer/status/1860050918122881049,#Matos24,0,0,2,66,
11/22/2024,"It’s essentially watching the movie  “Inception” in real life :

Documenting @lungoncdoc tweeting a slide showing a tweet from @lungoncdoc 

#MaTOS24 #LCAM #getyourpopcornready

Presenter: @HosseinBorghaei 
@BalazsHalmosMD @BrunaPellini @FawziAbuRous @ADesaiMD @StephenVLiu",x.com,Misty Dawn Shields,1312,@drshieldsmd,"Indianapolis, IN",United States,https://x.com/drshieldsmd/status/1860052991585419666,"#MaTOS24, #LCAM, #getyourpopcornready",4,2,9,349,
11/22/2024,"#MATOS24 An important point about how generalizable are perioperative trials is the % of attrition?

 How many do not make it to intended surgery after Neoadj ChemoIO? 16-26%

How many do not start intended adjuvant IO? 26-38%

Excellent Presentation by Dr Jay Lee @UCLASurgery #lcsm",x.com,Dr. Estela Rodriguez,6920,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1860065163048812621,"#MATOS24 , #lcsm",0,3,6,252,
11/22/2024,"#MATOS24 A tour de force keynote presentation by @LudaBazhenovaMD @UCSDHealth on 
Review of data for Targeted Therapies in Early Stage Lung Cancer and next trials. #lcsm",x.com,Dr. Estela Rodriguez,6920,@Latinamd,"Miami, FL",United States,https://x.com/Latinamd/status/1860067793955356783,"#MATOS24 , #lcsm",0,0,0,93,
,,x.com,,,,,,,,,,,,
,,x.com,,,,,,,,,,,,
